Category,Subcategory,Subsubcategory,“Others” subsubcategory is added to each category/subcategory automatically. All blank subcategories will be called by name of their categories. All blank subsubcategories get names of their subcategories.
"Biscuits, Snacks & Chocolates",Health & Wellness,Antiseptics & OTC's,
"Biscuits, Snacks & Chocolates",Juices & Drinks,,
"Biscuits, Snacks & Chocolates",Men's Grooming,Razors and Razor Blades,
"Biscuits, Snacks & Chocolates",Namkeen & Snacks,Bhujia & Sev,
"Biscuits, Snacks & Chocolates",Namkeen & Snacks,Gift Packs,
"Biscuits, Snacks & Chocolates",Namkeen & Snacks,Healthy Snacks,
"Biscuits, Snacks & Chocolates",Namkeen & Snacks,Local Favourites,
"Biscuits, Snacks & Chocolates",Namkeen & Snacks,Namkeen & Mixtures,
"Biscuits, Snacks & Chocolates",Namkeen & Snacks,Namkeen & Snacks,
"Biscuits, Snacks & Chocolates",Noodles & Vermicelli,Instant Noodles,
"Biscuits, Snacks & Chocolates",Papad & Fryums,,
"Biscuits, Snacks & Chocolates",Pasta & Soups,Instant Pasta,
"Biscuits, Snacks & Chocolates",Pickles & Chutneys,Chutneys,
"Biscuits, Snacks & Chocolates",Pickles & Chutneys,Pickles,
"Biscuits, Snacks & Chocolates",Pulses,Organic Pulses,
"Biscuits, Snacks & Chocolates",Pulses,Soya,
"Biscuits, Snacks & Chocolates",Ready Made Meals & Mixes,Breakfast Mixes,
"Biscuits, Snacks & Chocolates",Ready Made Meals & Mixes,Masala Mixes & Seasoning,
"Biscuits, Snacks & Chocolates",Ready Made Meals & Mixes,Ready to Eat,
"Biscuits, Snacks & Chocolates",Spices,Cooking Paste & Others,
"Biscuits, Snacks & Chocolates",Spices,Herbs & Seasoning,
"Biscuits, Snacks & Chocolates",Spices,Powdered Spices,
"Biscuits, Snacks & Chocolates",Spices,Whole Spices,
"Biscuits, Snacks & Chocolates",Sweets,Instant Mixes,
"Biscuits, Snacks & Chocolates",Sweets,Sweets,
"Biscuits, Snacks & Chocolates",Tea & Coffee,,
Books & Stationery,Art & Craft Supplies,,
Books & Stationery,Cold Drinks,,
Books & Stationery,Kitchen Tools & Accessories,,
Books & Stationery,Others,,
Books & Stationery,Stationery Supplies,Diaries & Notebooks,
Books & Stationery,Stationery Supplies,Office Supplies,
Books & Stationery,Stationery Supplies,Others,
Books & Stationery,Stationery Supplies,Pens & Markers,
Breakfast & Dairy,Atta & Other Flours,Atta,
Breakfast & Dairy,Baking & Dessert Items,Baking & Dessert Mixes,
Breakfast & Dairy,Biscuits & Cookies,Cookies & Cakes,
Breakfast & Dairy,Biscuits & Cookies,Cream Biscuits & Wafer,
Breakfast & Dairy,Breads & Eggs,Breads,
Breakfast & Dairy,Breads & Eggs,Buns Pav & Others,
Breakfast & Dairy,Breakfast & Cereal & Mixes,Breakfast Mixes,
Breakfast & Dairy,Breakfast & Cereal & Mixes,Flakes,
Breakfast & Dairy,Breakfast & Cereal & Mixes,Muesli,
Breakfast & Dairy,Breakfast & Cereal & Mixes,Oats,
Breakfast & Dairy,Butter & Cheese,Butter ,
Breakfast & Dairy,Butter & Cheese,Cheese,
Breakfast & Dairy,Butter & Cheese,Peanut Butter & Mayonnaise,
Breakfast & Dairy,Chips & Crisps,,
Breakfast & Dairy,Chocolates,Chocolate Bars,
Breakfast & Dairy,Chawanprash,,
Breakfast & Dairy,Confectionery,Candies & Chewing Gums,
Breakfast & Dairy,Confectionery,Mouth Freshners,
Breakfast & Dairy,Dry Fruits & Nuts,Almonds,
Breakfast & Dairy,Dry Fruits & Nuts,Other Dry Fruits,
Breakfast & Dairy,Flavoured Milk & Milk Shake,,
Breakfast & Dairy,Frozen & Canned Food,Frozen Veg,
Breakfast & Dairy,Health & Energy Drinks,,
Breakfast & Dairy,"Jams, Honey & Spreads",Dressings & Dips,
Breakfast & Dairy,"Jams, Honey & Spreads",Food Spreads,
Breakfast & Dairy,"Jams, Honey & Spreads",Honey,
Breakfast & Dairy,"Jams, Honey & Spreads",Jams ,
Breakfast & Dairy,"Jams, Honey & Spreads",Peanut Butter & Mayonnaise,
Breakfast & Dairy,Juices & Drinks,,
Breakfast & Dairy,Milk,Cream & Whitener,
Breakfast & Dairy,Milk,Lassi & Chaach,
Breakfast & Dairy,Milk,Poly Milk,
Breakfast & Dairy,Namkeen & Snacks,Healthy Snacks,
Breakfast & Dairy,Noodles & Vermicelli,Vermicelli,
Breakfast & Dairy,Paneer & Curd,Curd,
Breakfast & Dairy,Paneer & Curd,Paneer,
Breakfast & Dairy,Pickles & Chutneys,Pickles,
Breakfast & Dairy,Ready Made Meals & Mixes,Breakfast Mixes,
Breakfast & Dairy,Ready Made Meals & Mixes,Ready to Eat,
Breakfast & Dairy,Salt & Sugar,Sugar,
Breakfast & Dairy,Sauces & Ketchups,Chinese Sauces,
Breakfast & Dairy,Sauces & Ketchups,Cooking Sauces,
Breakfast & Dairy,Sauces & Ketchups,Tomato & Chilli Ketchup,
Breakfast & Dairy,Spices,Herbs & Seasoning,
Breakfast & Dairy,Spices,Powdered Spices,
Breakfast & Dairy,Sweets,Sweets,
"Foodgrains, Oil & Masala",Atta & Other Flours,Atta,
"Foodgrains, Oil & Masala",Atta & Other Flours,Besan,
"Foodgrains, Oil & Masala",Atta & Other Flours,Maida,
"Foodgrains, Oil & Masala",Atta & Other Flours,Other Flours,
"Foodgrains, Oil & Masala",Atta & Other Flours,Sooji,
"Foodgrains, Oil & Masala",Baking & Dessert Items,Baking & Dessert Mixes,
"Foodgrains, Oil & Masala",Baking & Dessert Items,Baking Ingredients,
"Foodgrains, Oil & Masala",Breakfast & Cereal & Mixes,Breakfast Mixes,
"Foodgrains, Oil & Masala",Breakfast & Cereal & Mixes,Flakes,
"Foodgrains, Oil & Masala",Butter & Cheese,Butter ,
"Foodgrains, Oil & Masala",Chips & Crisps,,
"Foodgrains, Oil & Masala",Dry Fruits & Nuts,Almonds,
"Foodgrains, Oil & Masala",Dry Fruits & Nuts,Cashews,
"Foodgrains, Oil & Masala",Dry Fruits & Nuts,Mouth Freshners & Digestives,
"Foodgrains, Oil & Masala",Dry Fruits & Nuts,Other Dry Fruits,
"Foodgrains, Oil & Masala",Dry Fruits & Nuts,Raisins,
"Foodgrains, Oil & Masala",Edible Oils,Groundnut & Coconut Oil,
"Foodgrains, Oil & Masala",Edible Oils,Groundnut & Coconut Oil,
"Foodgrains, Oil & Masala",Edible Oils,Health Oil,
"Foodgrains, Oil & Masala",Edible Oils,Mustard Oil,
"Foodgrains, Oil & Masala",Edible Oils,Olive Oil,
"Foodgrains, Oil & Masala",Edible Oils,Rice Bran Oil,
"Foodgrains, Oil & Masala",Edible Oils,Soyabean Oil,
"Foodgrains, Oil & Masala",Edible Oils,Sunflower Oil,
"Foodgrains, Oil & Masala",Face Care,More Face Products,
"Foodgrains, Oil & Masala",Flavoured Milk & Milk Shake,,
"Foodgrains, Oil & Masala",Ghee & Vanaspati,Ghee,
"Foodgrains, Oil & Masala",Ghee & Vanaspati,Vanaspati,
"Foodgrains, Oil & Masala",Hair Care,Hair Oil & Others,
"Foodgrains, Oil & Masala",Health & Wellness,Health Supllements,
"Foodgrains, Oil & Masala","Jams, Honey & Spreads",Food Spreads,
"Foodgrains, Oil & Masala","Jams, Honey & Spreads",Jams ,
"Foodgrains, Oil & Masala","Jams, Honey & Spreads",Peanut Butter & Mayonnaise,
"Foodgrains, Oil & Masala",Juices & Drinks,,
"Foodgrains, Oil & Masala",Namkeen & Snacks,Local Favourites,
"Foodgrains, Oil & Masala",Namkeen & Snacks,Namkeen & Mixtures,
"Foodgrains, Oil & Masala",Noodles & Vermicelli,Vermicelli,
"Foodgrains, Oil & Masala",Other Pooja Items,,
"Foodgrains, Oil & Masala",Papad & Fryums,,
"Foodgrains, Oil & Masala",Pasta & Soups,Instant Pasta,
"Foodgrains, Oil & Masala",Pasta & Soups,Pasta & Macaroni,
"Foodgrains, Oil & Masala",Pickles & Chutneys,Chutneys,
"Foodgrains, Oil & Masala",Pickles & Chutneys,Pickles,
"Foodgrains, Oil & Masala",Pulses,Arhar,
"Foodgrains, Oil & Masala",Pulses,Dried Peas & Others,
"Foodgrains, Oil & Masala",Pulses,Masoor,
"Foodgrains, Oil & Masala",Pulses,Moong,
"Foodgrains, Oil & Masala",Pulses,Organic Pulses,
"Foodgrains, Oil & Masala",Pulses,Poha,
"Foodgrains, Oil & Masala",Pulses,Rajma & Chana,
"Foodgrains, Oil & Masala",Pulses,Soya,
"Foodgrains, Oil & Masala",Pulses,Urad,
"Foodgrains, Oil & Masala",Ready Made Meals & Mixes,Breakfast Mixes,
"Foodgrains, Oil & Masala",Ready Made Meals & Mixes,Masala Mixes & Seasoning,
"Foodgrains, Oil & Masala",Ready Made Meals & Mixes,Ready to Eat,
"Foodgrains, Oil & Masala",Rice & Other Grains,Daliya,
"Foodgrains, Oil & Masala",Rice & Other Grains,Daliya ,
"Foodgrains, Oil & Masala",Rice & Other Grains,Millet & Others,
"Foodgrains, Oil & Masala",Rice & Other Grains,Poha,
"Foodgrains, Oil & Masala",Rice & Other Grains,Rice,
"Foodgrains, Oil & Masala",Salt & Sugar,Jaggery & Others,
"Foodgrains, Oil & Masala",Salt & Sugar,Salt,
"Foodgrains, Oil & Masala",Salt & Sugar,Sugar,
"Foodgrains, Oil & Masala",Spices,Cooking Paste & Others,
"Foodgrains, Oil & Masala",Spices,Herbs & Seasoning,
"Foodgrains, Oil & Masala",Spices,Powdered Spices,
"Foodgrains, Oil & Masala",Spices,Whole Spices,
"Foodgrains, Oil & Masala",Sweets,Sweets,
"Foodgrains, Oil & Masala",Tea & Coffee,,
"Foodgrains, Oil & Masala",Water & Soda,,
Fresh & Frozen Food,Atta & Other Flours,Atta,
Fresh & Frozen Food,Biscuits & Cookies,Cookies & Cakes,
Fresh & Frozen Food,Biscuits & Cookies,Cream Biscuits & Wafer,
Fresh & Frozen Food,Butter & Cheese,Cheese,
Fresh & Frozen Food,Chips & Crisps,,
Fresh & Frozen Food,Chocolates,Chocolate Bars,
Fresh & Frozen Food,Chocolates,Chocolate Gift  Packs,
Fresh & Frozen Food,Dry Fruits & Nuts,Other Dry Fruits,
Fresh & Frozen Food,Frozen & Canned Food,Frozen Veg,
Fresh & Frozen Food,Ready Made Meals & Mixes,Ready to Eat,
Fresh & Frozen Food,Spices,Herbs & Seasoning,
Fresh & Frozen Food,,Ready to Eat,
Fruits & Vegetables,Atta & Other Flours,Maida,
Fruits & Vegetables,Confectionery,,
Fruits & Vegetables,Frozen & Canned Food,Frozen Veg,
Fruits & Vegetables,Fruits,,
Fruits & Vegetables,Health & Energy Drinks,,
Fruits & Vegetables,Other Pooja Items,,
Fruits & Vegetables,Spices,Herbs & Seasoning,
Fruits & Vegetables,Sweets,Sweets,
Fruits & Vegetables,Vegetables,,
Household Items,Bath & Body,Body Wash & Shower Gel,
Household Items,Bath & Body,Hand Washes,
Household Items,Bath & Body,Soaps,
Household Items,Cleaners,Bathroom Cleaners,
Household Items,Cleaners,Floor Cleaners,
Household Items,Cleaners,Multi-Purpsoe Cleaners,
Household Items,Cleaners,Toilet Cleaners,
Household Items,Cleaning tools & brushes,Brooms & Mops,
Household Items,Cleaning tools & brushes,Cleaning Accessories,
Household Items,Cosmetics,Eye Make-up,
Household Items,Cosmetics,Other,
Household Items,Confectionery,Candies & Chewing Gums,
Household Items,Dining & Serving,,
Household Items,Disinfectants,,
Household Items,Face Care,Face Wipes,
Household Items,Face Care,More Face Products,
Household Items,Feminine Hygiene,Sanitary Pads & Needs,
Household Items,Health & Wellness,Masks & Sanitizer,
Household Items,Home Freshners,Air Freshners,
Household Items,Household Items,Detergent Bars,
Household Items,Kids Toys & More,,
Household Items,Kitchen Appliances,,
Household Items,Kitchen Tools & Accessories,,
Household Items,Laundry Detergents,Detergent Bars,
Household Items,Laundry Detergents,Detergent Powders,
Household Items,Laundry Detergents,Laundry Additives,
Household Items,Laundry Detergents,Liquid Detergents,
Household Items,Other,,
Household Items,Pulses,Organic Pulses,
Household Items,Pulses,Rajma & Chana,
Household Items,Repellents,Creams & Other Repellents,
Household Items,Repellents,Mosquito Repellents,
Household Items,Repellents,Sprays,
Household Items,Stationery Supplies,Others,
Household Items,Tissues & Disposables,Kitchen & Dinning Disposables,
Household Items,Tissues & Disposables,Toilet & Other Disposables,
Kitchen & Dining Items,Chocolates,Chocolate Bars,
Kitchen & Dining Items,Chocolates,Chocolate Gift  Packs,
Kitchen & Dining Items,Cleaners,Floor Cleaners,
Kitchen & Dining Items,Cleaning tools & brushes,Cleaning Accessories,
Kitchen & Dining Items,Confectionery,Candies & Chewing Gums,
Kitchen & Dining Items,Cookware,,
Kitchen & Dining Items,Face Care,Face Masks & Bleach,
Kitchen & Dining Items,Kitchen Appliances,,
Kitchen & Dining Items,Kitchen Tools & Accessories,,
Kitchen & Dining Items,Oral Care,Mouthwash & Others,
Kitchen & Dining Items,Others,,
Kitchen & Dining Items,Storage & Container,,
Kitchen & Dining Items,Tissues & Disposables,Kitchen & Dinning Disposables,
Noodles & Instant Food,Atta & Other Flours,Other Flours,
Noodles & Instant Food,Baking & Dessert Items,Baking & Dessert Mixes,
Noodles & Instant Food,Baking & Dessert Items,Baking Ingredients,
Noodles & Instant Food,Biscuits & Cookies,Cookies & Cakes,
Noodles & Instant Food,Breakfast & Cereal & Mixes,Breakfast Mixes,
Noodles & Instant Food,Breakfast & Cereal & Mixes,Flakes,
Noodles & Instant Food,Breakfast & Cereal & Mixes,Instant Noodles,
Noodles & Instant Food,Breakfast & Cereal & Mixes,Muesli,
Noodles & Instant Food,Breakfast & Cereal & Mixes,Oats,
Noodles & Instant Food,Breakfast & Cereal & Mixes,Pasta & Macaroni,
Noodles & Instant Food,Butter & Cheese,Butter ,
Noodles & Instant Food,Butter & Cheese,Cheese,
Noodles & Instant Food,Chips & Crisps,,
Noodles & Instant Food,Confectionery,Candies & Chewing Gums,
Noodles & Instant Food,Confectionery,Mouth Freshners,
Noodles & Instant Food,Dry Fruits & Nuts,Other Dry Fruits,
Noodles & Instant Food,Edible Oils,Olive Oil,
Noodles & Instant Food,Face Care,More Face Products,
Noodles & Instant Food,Flavoured Milk & Milk Shake,,
Noodles & Instant Food,Frozen & Canned Food,Frozen Veg,
Noodles & Instant Food,"Jams, Honey & Spreads",Dressings & Dips,
Noodles & Instant Food,"Jams, Honey & Spreads",Food Spreads,
Noodles & Instant Food,"Jams, Honey & Spreads",Honey,
Noodles & Instant Food,"Jams, Honey & Spreads",Jams ,
Noodles & Instant Food,"Jams, Honey & Spreads",Peanut Butter & Mayonnaise,
Noodles & Instant Food,Juices & Drinks,,
Noodles & Instant Food,Namkeen & Snacks,Local Favourites,
Noodles & Instant Food,Namkeen & Snacks,Namkeen & Mixtures,
Noodles & Instant Food,Noodles & Vermicelli,Cup Noodles,
Noodles & Instant Food,Noodles & Vermicelli,Hakka Noodles,
Noodles & Instant Food,Noodles & Vermicelli,Instant Noodles,
Noodles & Instant Food,Noodles & Vermicelli,Instant Pasta,
Noodles & Instant Food,Noodles & Vermicelli,Pasta & Macaroni,
Noodles & Instant Food,Noodles & Vermicelli,Ready to Eat,
Noodles & Instant Food,Noodles & Vermicelli,Vermicelli,
Noodles & Instant Food,"Noodles, Sauces & Instant Food",Chutneys,
Noodles & Instant Food,Pasta & Soups,Instant Noodles,
Noodles & Instant Food,Pasta & Soups,Instant Pasta,
Noodles & Instant Food,Pasta & Soups,Pasta & Macaroni,
Noodles & Instant Food,Pasta & Soups,Soup,
Noodles & Instant Food,Pickles & Chutneys,Chutneys,
Noodles & Instant Food,Pickles & Chutneys,Pickles,
Noodles & Instant Food,Pulses,Dried Peas & Others,
Noodles & Instant Food,Pulses,Organic Pulses,
Noodles & Instant Food,Pulses,Soya,
Noodles & Instant Food,Ready Made Meals & Mixes,Breakfast Mixes,
Noodles & Instant Food,Ready Made Meals & Mixes,Masala Mixes & Seasoning,
Noodles & Instant Food,Ready Made Meals & Mixes,Ready to Eat,
Noodles & Instant Food,Rice & Other Grains,Poha,
Noodles & Instant Food,Salt & Sugar,Jaggery & Others,
Noodles & Instant Food,Salt & Sugar,Sugar,
Noodles & Instant Food,Sauces & Ketchups,Chinese Sauces,
Noodles & Instant Food,Sauces & Ketchups,Cooking Sauces,
Noodles & Instant Food,Sauces & Ketchups,Food Spreads,
Noodles & Instant Food,Sauces & Ketchups,Tomato & Chilli Ketchup,
Noodles & Instant Food,Spices,Cooking Paste & Others,
Noodles & Instant Food,Spices,Herbs & Seasoning,
Noodles & Instant Food,Spices,Powdered Spices,
Noodles & Instant Food,Spices,Ready Masala,
Noodles & Instant Food,Spices,Whole Spices,
Noodles & Instant Food,Sweets,Sweets,
Noodles & Instant Food,,,
Personal Care,Baby Accessories & More,Baby Needs,
Personal Care,Baby Accessories & More,Oral Care,
Personal Care,Baby Skin & Hair Care,Bathing Needs,
Personal Care,Baby Skin & Hair Care,Body Care & Others,
Personal Care,Baking & Dessert Items,Baking Ingredients,
Personal Care,Bath & Body,Body Wash & Shower Gel,
Personal Care,Bath & Body,Hand Washes,
Personal Care,Bath & Body,Soaps,
Personal Care,Body Wash & Shower Gel,,
Personal Care,Butter & Cheese,Butter ,
Personal Care,Chocolates,Chocolate Bags,
Personal Care,Cleaners,Multi-Purpsoe Cleaners,
Personal Care,Cosmetics,Eye Make-up,
Personal Care,Cosmetics,Lip Colour,
Personal Care,Cosmetics,Other,
Personal Care,Confectionery,Mouth Freshners,
Personal Care,Diapers & Wipes,Diapers,
Personal Care,Disinfectants,,
Personal Care,Dry Fruits & Nuts,Almonds,
Personal Care,Edible Oils,Health Oil,
Personal Care,Face Care,Face Creams & Lotion,
Personal Care,Face Care,Face Masks & Bleach,
Personal Care,Face Care,Face Wash,
Personal Care,Face Care,Face Wipes,
Personal Care,Face Care,Lip Care,
Personal Care,Face Care,More Face Products,
Personal Care,Feminine Hygiene,Hair Removal,
Personal Care,Feminine Hygiene,Intimate Hygiene,
Personal Care,Feminine Hygiene,Intimate Wash,
Personal Care,Feminine Hygiene,Sanitary Pads & Needs,
Personal Care,Fragrances,Deodorant & Perfumes for Men,
Personal Care,Fragrances,Deodorant & Perfumes for Women,
Personal Care,Hair Care,Conditioner,
Personal Care,Hair Care,Hair Colour,
Personal Care,Hair Care,Hair Oil & Others,
Personal Care,Hair Care,Shampoo,
Personal Care,Health & Energy Drinks,,
Personal Care,Health & Wellness,Antiseptics & OTC's,
Personal Care,Health & Wellness,Condoms,
Personal Care,Health & Wellness,Hand Washes,
Personal Care,Health & Wellness,Health Supplements,
Personal Care,Health & Wellness,Masks & Sanitizer,
Personal Care,Health & Wellness,Pain Relievers,
Personal Care,Home Freshners,Air Freshners,
Personal Care,Laundry Detergents,Deo Body Spray,
Personal Care,Laundry Detergents,Detergent Powders,
Personal Care,Laundry Detergents,Liquid Detergents,
Personal Care,Laundry Detergents,Personal Care,
Personal Care,Men's Grooming,After Shave Lotion,
Personal Care,Men's Grooming,Razors and Razor Blades,
Personal Care,Men's Grooming,"Shaving Cream, Foam & Gel",
Personal Care,Mothers & Maternity,Maternity Health Supplements,
Personal Care,Oral Care,Hair Oil & Others,
Personal Care,Oral Care,Mouthwash & Others,
Personal Care,Oral Care,Toothbrush,
Personal Care,Oral Care,Toothpaste,
Personal Care,Others,,
Personal Care,Personal Care,Toothpaste,
Personal Care,Repellents,Mosquito Repellents,
Personal Care,Skin Care,Body Lotions,
Personal Care,Skin Care,Body Oils & Others,
Personal Care,Skin Care,Face Creams & Lotion,
Personal Care,Spices,Powdered Spices,
Personal Care,Stationery Supplies,Office Supplies,
Personal Care,Stationery Supplies,Others,
Personal Care,Storage & Container,,
Personal Care,Tissues & Disposables,Kitchen & Dinning Disposables,
Pet Care,Cat Supplies,Sanitary Pads & Needs,
Pet Care,Dog Supplies,,
Pooja Needs,Atta & Other Flours,Other Flours,
Pooja Needs,Edible Oils,Health Oil,
Pooja Needs,Health & Wellness,Health Supplements,
Pooja Needs,Incense Sticks,,
Pooja Needs,Other Pooja Items,,
Pooja Needs,Others,,
Pooja Needs,Salt & Sugar,Sugar,
